Price     , Close             , High              , Low               , Open              , Volume
Ticker    , ANGELONE.NS       , ANGELONE.NS       , ANGELONE.NS       , ANGELONE.NS       , ANGELONE.NS
Date      ,                   ,                   ,                   ,                   , 
2023-10-30, 2720.220703125    , 2764.353362063202 , 2386.0734283071847, 2458.8195694141114, 5761352
2023-11-06, 2638.599609375    , 2810.765475477152 , 2418.4695984565255, 2724.5854528503965, 7494427
2023-11-13, 2831.2314453125   , 2997.1412022680793, 2629.5306794008943, 2649.851055401778 , 5004053
2023-11-20, 2951.60205078125  , 2987.441603172829 , 2817.8945453462766, 2848.7389573112337, 3894511
2023-11-27, 2963.726318359375 , 3098.985595339807 , 2936.034240091892 , 2951.6019615700957, 3182720
2023-12-04, 2867.313232421875 , 3147.531502884582 , 2815.760563130193 , 3016.539907452601 , 6030966
2023-12-11, 3163.293212890625 , 3204.952455217867 , 2861.3481857888196, 2896.2663331408185, 4192897
2023-12-18, 3193.410400390625 , 3283.2760443725115, 3031.089405809187 , 3150.393084821837 , 2301694
2023-12-25, 3382.986328125    , 3399.6693944832396, 3160.5770961265725, 3193.409946626493 , 1429408
2024-01-01, 3631.584716796875 , 3659.422194783599 , 3359.7080717042804, 3379.3009864347773, 1966804
2024-01-08, 3681.3427734375   , 3778.9196960393174, 3581.5837033181583, 3647.006688169362 , 1464240
2024-01-15, 3237.6884765625   , 3681.3428782998194, 3142.7789098722196, 3681.3428782998194, 4904707
2024-01-22, 2833.41357421875  , 3237.6881654225763, 2758.0486214437074, 3237.6881654225763, 2120246
2024-01-29, 3250.394775390625 , 3345.5693616383346, 2771.2600113303597, 2844.2352603540858, 2910097
2024-02-05, 3304.919189453125 , 3347.613731315075 , 2979.572893548848 , 3237.39625812885  , 1612677
2024-02-12, 3188.859619140625 , 3328.0920021258385, 3034.9252180595504, 3310.4202947533263, 752495
2024-02-19, 2958.298828125    , 3217.0471251631393, 2942.4769661236087, 3208.186787359055 , 1076049
2024-02-26, 2739.761962890625 , 3010.632405919205 , 2678.0324604489397, 2959.904991734149 , 2054617
2024-03-04, 2664.060302734375 , 2877.533702300014 , 2653.301628293431 , 2847.9347490512855, 1790759
2024-03-11, 2555.790283203125 , 2678.4218256564495, 2273.869021822299 , 2667.176324164115 , 3064520
2024-03-18, 2590.550048828125 , 2648.2877257212353, 2391.7788617512424, 2555.7906803858527, 1774899
2024-03-25, 2964.7734375      , 3032.9291487068967, 2583.977647373594 , 2590.5498052399735, 2626643
2024-04-01, 2899.44140625     , 3144.07174212763  , 2854.8482854387244, 3042.6658691247485, 2879960
2024-04-08, 2805.09423828125  , 2962.0957814686335, 2746.723789611528 , 2919.4010031681764, 1440766
2024-04-15, 2617.276611328125 , 3018.3241696212817, 2604.959758785209 , 2711.6234878694418, 4551175
2024-04-22, 2742.585693359375 , 2848.9085485879964, 2639.8165763360234, 2658.023839067306 , 1947877
2024-04-29, 2645.123291015625 , 2813.857418349666 , 2634.2671541907685, 2808.9891529199954, 1426252
2024-05-06, 2405.06884765625  , 2677.497002874975 , 2341.6354501907244, 2669.9999223640393, 2445433
2024-05-13, 2683.87451171875  , 2697.018827303079 , 2337.740867998084 , 2420.452643337082 , 2961634
2024-05-20, 2531.059814453125 , 2684.8482649913967, 2526.6296455676065, 2676.864357583664 , 1336353
2024-05-27, 2402.29443359375  , 2594.396245156028 , 2372.8414261856215, 2555.8394858293454, 1687968
2024-06-03, 2521.81005859375  , 2577.113597816164 , 2073.588794580182 , 2575.312244641146 , 3731701
2024-06-10, 2533.445068359375 , 2625.9421019851015, 2507.156437749958 , 2541.234292243647 , 1906429
2024-06-17, 2544.106689453125 , 2607.44286789721  , 2507.156603747317 , 2533.445236097289 , 1635012
2024-06-24, 2533.445068359375 , 2587.48280905651  , 2458.47378847326  , 2553.843050864662 , 1653366
2024-07-01, 2301.326171875    , 2530.523977653428 , 2226.7929921712253, 2530.523977653428 , 9496926
2024-07-08, 2184.731201171875 , 2326.933020071954 , 2143.1075388124095, 2326.933020071954 , 3807619
2024-07-15, 2031.91650390625  , 2259.069813484544 , 2025.295853173384 , 2217.3974143990918, 3114032
2024-07-22, 2073.540283203125 , 2255.0293683832524, 1971.647578724221 , 2034.935031868455 , 6062448
2024-07-29, 2185.607666015625 , 2248.6517004847246, 2028.1192864731247, 2093.3540402867106, 6031925
2024-08-05, 2117.013671875    , 2142.0365053274036, 1976.5155026430134, 2123.3424160952854, 3298887
2024-08-12, 2103.236572265625 , 2149.9234268765517, 2023.2510680976231, 2117.6954153572333, 1903781
2024-08-19, 2495.61865234375  , 2779.7793823632   , 2117.938739574624 , 2137.1683867906218, 28725833
2024-08-26, 2518.207275390625 , 2628.8628324974584, 2477.9466328540857, 2521.468869983787 , 3487044
2024-09-02, 2350.739013671875 , 2559.3926434790023, 2337.7893823427794, 2541.2341116723755, 3079835
2024-09-09, 2387.153564453125 , 2440.1689188017494, 2254.152479503696 , 2336.7670254665036, 2715154
2024-09-16, 2522.540283203125 , 2623.0212269847193, 2390.366886186356 , 2407.6492272327473, 7586215
2024-09-23, 2465.58154296875  , 2577.892274054463 , 2380.8250016558522, 2540.1632202504907, 3168634
2024-09-30, 2591.572021484375 , 2720.678498336034 , 2385.449738555719 , 2428.095785505016 , 16569349
2024-10-07, 2631.8818359375   , 2647.0219517419023, 2430.2869104986667, 2618.834741543287 , 5746460
2024-10-14, 3032.344970703125 , 3303.60480613067  , 2605.4955676998743, 2647.2651885561518, 46560769
2024-10-21, 2725.059814453125 , 3083.607498876861 , 2687.574177385063 , 3053.959815282858 , 9394731
2024-10-28, 2989.309326171875 , 3041.6919039414533, 2736.2570122172788, 2767.0730338944627, 7135405
2024-11-04, 2772.9638671875   , 2993.885647618536 , 2757.3854184954353, 2976.457353227594 , 7094161
2024-11-11, 2624.627685546875 , 2765.6614215050254, 2536.3661337865133, 2764.2009419654173, 4616541
2024-11-18, 2623.60546875     , 2681.4403618637607, 2553.8918188702414, 2634.6562876744874, 3453725
2024-11-25, 2820.7705078125   , 2890.7760710341245, 2661.0426682691104, 2661.0426682691104, 7207394
2024-12-02, 3206.044677734375 , 3241.1449162740964, 2763.811528290623 , 2763.811528290623 , 11387340
2024-12-09, 3299.612548828125 , 3410.8524038155488, 3196.0646951474955, 3208.186627427232 , 10832095
2024-12-16, 2805.77587890625  , 3310.4202900797677, 2774.9111255080406, 3310.4202900797677, 8972321
2024-12-23, 2808.74560546875  , 2881.8670438125464, 2752.56587263583  , 2857.5742103123916, 3969707
2024-12-30, 2780.94775390625  , 2961.852535538309 , 2762.789219867993 , 2812.9323512224382, 6433523
2025-01-06, 2477.021728515625 , 2911.22219536259  , 2466.262816338943 , 2808.9886400070477, 8481863
2025-01-13, 2389.83154296875  , 2500.049026763034 , 2214.087157755526 , 2443.8692902226776, 13804161
2025-01-20, 2272.846923828125 , 2540.260619099643 , 2258.8749085132895, 2389.8312340283915, 6939793
2025-01-27, 2423.892822265625 , 2464.080903926046 , 2102.584638106598 , 2255.46507000322  , 8246131
2025-02-03, 2359.259521484375 , 2480.556874317446 , 2253.6071253737164, 2370.162005211068 , 6098390
2025-02-10, 2160.32421875     , 2373.0954920963745, 2146.292552360363 , 2359.2595786489865, 5541639
2025-02-17, 2304.306640625    , 2387.0292054105307, 2102.3889195138504, 2152.3548564193643, 4745664
2025-02-24, 2121.01611328125  , 2291.937320601319 , 2045.2847891201593, 2277.6614402093146, 4552874
2025-03-03, 2051.445068359375 , 2150.6438300451914, 1900.862351234807 , 2120.8695678129097, 9993134
2025-03-10, 1910.1514892578125, 2079.2636504034604, 1897.9288664701378, 2048.511579214291 , 3805089
2025-03-17, 2284.9462890625   , 2292.3775012865217, 1913.574030408713 , 1935.0858488394701, 5937152
